t_s,waypoint_idx,J1_cmd_deg,J1_act_deg,J1_err_deg,J2_cmd_deg,J2_act_deg,J2_err_deg,J3_cmd_deg,J3_act_deg,J3_err_deg,J4_cmd_deg,J4_act_deg,J4_err_deg,J5_cmd_deg,J5_act_deg,J5_err_deg,J6_cmd_deg,J6_act_deg,J6_err_deg,max_abs_err_deg,over_threshold
0.000,0,0.000,-0.000,-0.000,88.578,88.600,+0.022,5.088,5.100,+0.012,-11.720,-11.700,+0.020,-6.392,-6.400,-0.008,77.660,77.700,+0.040,0.040,0
0.412,2,0.000,0.000,+0.000,89.307,88.600,-0.707,2.891,4.900,+2.009,-7.421,-11.300,-3.879,-3.259,-6.100,-2.841,77.660,77.700,+0.040,3.879,0
0.821,4,0.000,0.000,+0.000,89.177,88.900,-0.277,5.111,4.600,-0.511,-14.756,-11.200,+3.556,0.063,-4.200,-4.263,77.660,77.700,+0.040,4.263,0
1.231,6,0.000,-0.000,-0.000,89.725,89.100,-0.625,5.518,4.800,-0.718,-23.587,-14.200,+9.387,1.525,-2.100,-3.625,77.660,77.700,+0.040,9.387,1
1.643,8,0.000,-0.000,-0.000,90.521,89.500,-1.021,4.281,5.000,+0.719,-32.116,-19.900,+12.216,1.643,-0.200,-1.843,77.660,77.700,+0.040,12.216,1
2.053,10,0.000,0.000,+0.000,91.139,90.100,-1.039,2.011,4.300,+2.289,-39.663,-26.900,+12.763,1.551,0.700,-0.851,77.660,77.700,+0.040,12.763,1
2.464,12,0.000,0.000,+0.000,91.287,90.600,-0.687,-0.865,2.800,+3.665,-46.115,-34.200,+11.915,1.393,1.200,-0.193,77.660,77.700,+0.040,11.915,1
2.874,14,0.000,0.000,+0.000,90.749,90.900,+0.151,-4.030,0.600,+4.630,-51.388,-41.000,+10.388,1.200,1.300,+0.100,77.660,77.700,+0.040,10.388,1
3.284,16,0.000,-0.000,-0.000,89.471,90.700,+1.229,-7.011,-2.100,+4.911,-55.151,-46.800,+8.351,0.919,1.200,+0.281,77.660,77.700,+0.040,8.351,1
3.694,18,0.000,0.000,+0.000,87.585,89.800,+2.215,-9.475,-4.900,+4.575,-57.412,-51.400,+6.012,0.625,1.000,+0.375,77.660,77.700,+0.040,6.012,1
4.106,20,0.000,0.000,+0.000,85.163,88.400,+3.237,-11.387,-7.500,+3.887,-58.440,-54.600,+3.840,0.375,0.800,+0.425,77.660,77.700,+0.040,3.887,0
4.517,22,0.000,0.000,+0.000,82.255,86.400,+4.145,-12.731,-9.700,+3.031,-58.396,-56.600,+1.796,0.154,0.600,+0.446,77.660,77.700,+0.040,4.145,0
4.928,24,0.000,-0.000,-0.000,78.911,83.900,+4.989,-13.525,-11.300,+2.225,-57.419,-57.500,-0.081,-0.212,0.300,+0.512,77.660,77.700,+0.040,4.989,0
5.338,26,0.000,-0.000,-0.000,75.110,80.900,+5.790,-13.680,-12.500,+1.180,-55.436,-57.200,-1.764,-0.421,0.000,+0.421,77.660,77.700,+0.040,5.790,1
5.750,28,0.000,0.000,+0.000,70.940,77.400,+6.460,-13.204,-13.100,+0.104,-52.520,-56.000,-3.480,-0.591,-0.200,+0.391,77.660,77.700,+0.040,6.460,1
6.161,30,0.000,-0.000,-0.000,66.955,73.600,+6.645,-12.245,-13.000,-0.755,-49.138,-53.800,-4.662,-0.679,-0.400,+0.279,77.660,77.700,+0.040,6.645,1
6.572,32,0.000,0.000,+0.000,63.382,69.800,+6.418,-11.037,-12.500,-1.463,-45.663,-51.000,-5.337,-0.701,-0.600,+0.101,77.660,77.700,+0.040,6.418,1
6.984,34,0.000,0.000,+0.000,60.366,66.100,+5.734,-9.793,-11.600,-1.807,-42.407,-47.900,-5.493,-0.662,-0.600,+0.062,77.660,77.700,+0.040,5.734,1
7.394,36,0.000,0.000,+0.000,58.051,62.900,+4.849,-8.706,-10.600,-1.894,-39.694,-44.700,-5.006,-0.560,-0.600,-0.040,77.660,77.700,+0.040,5.006,1
7.805,38,0.000,0.000,+0.000,56.577,60.200,+3.623,-7.949,-9.500,-1.551,-37.850,-41.900,-4.050,-0.392,-0.600,-0.208,77.660,77.700,+0.040,4.050,0
8.714,39,0.000,-0.000,-0.000,56.084,57.000,+0.916,-7.707,-8.100,-0.393,-37.239,-38.300,-1.061,-0.452,-0.500,-0.048,77.660,77.700,+0.040,1.061,0
